data_10_str = """grid_size,A_blocks,A_mst,A_time,B_blocks,B_mst,B_time
20,75,151.344858,0.008673,108,169.806195,0.005906
30,182,341.087048,0.026379,258,387.480637,0.020582
40,340,607.063580,0.052552,477,698.206102,0.057498
50,492,923.483556,0.091906,699,1039.566900,0.099622
60,734,1356.948873,0.157054,1029,1534.653180,0.180903
70,994,1807.310217,0.236952,1422,2099.345841,0.315416
80,1295,2376.910858,0.370764,1809,2705.756756,0.501985
90,1611,2986.060002,0.513479,2268,3399.029536,0.747937
100,2032,3702.809065,0.757213,2895,4272.701159,1.288766
110,2452,4488.414031,1.239779,3456,5124.723816,1.790958
120,2894,5314.364155,1.412356,4107,6093.025538,2.325736
130,3382,6223.193742,1.859055,4779,7118.514039,3.217223
140,3948,7216.896722,2.507728,5508,8225.396321,4.216201
150,4552,8296.867586,3.295632,6399,9531.528544,5.692939
160,5116,9367.044549,4.155937,7197,10706.605318,7.244760
170,5774,10574.903193,5.124602,8127,12126.751370,9.226902
180,6456,11898.084796,6.628738,9081,13577.734155,11.534159
190,7226,13229.030081,8.262777,10221,15175.663135,15.193418
200,7999,14664.523771,9.412412,11241,16819.211806,16.828725"""

data_15_str = """grid_size,A_blocks,A_mst,A_time,B_blocks,B_mst,B_time
20,95,163.967557,0.009795,136,188.190997,0.006830
30,221,372.181184,0.026817,312,440.802246,0.025987
40,373,645.736348,0.057761,535,745.371664,0.062568
50,558,980.237626,0.104143,793,1133.115824,0.117827
60,830,1442.006797,0.178402,1200,1687.411503,0.235131
70,1143,1964.860344,0.280854,1645,2319.526971,0.427612
80,1528,2599.184202,0.455220,2197,3053.641535,0.736412
90,1875,3249.918458,0.676958,2688,3776.936360,1.038628
100,2341,4023.960685,0.971336,3340,4715.270317,1.663786
110,2866,4877.191754,1.419788,4081,5699.104423,2.446020
120,3365,5769.931218,1.815542,4827,6755.916929,3.324155
130,3864,6694.847647,2.400056,5494,7783.839469,4.203180
140,4586,7836.752511,3.214642,6571,9178.412255,5.905540
150,5224,8980.083514,4.108301,7464,10525.457404,7.596233
160,5904,10190.137475,5.302963,8389,11837.450885,9.479002
170,6663,11492.379513,6.462186,9445,13348.961719,12.233015
180,7528,12908.705066,8.214536,10722,15033.133606,15.418510
190,8325,14335.958521,10.155126,11893,16732.975453,19.152204
200,9297,15957.598618,12.514890,13192,18605.030517,23.152827"""

data_20_str = """grid_size,A_blocks,A_mst,A_time,B_blocks,B_mst,B_time
20,99,166.415623,0.009292,137,188.778536,0.006732
30,229,383.838505,0.028333,321,446.132297,0.024674
40,402,681.656597,0.057726,581,785.595149,0.068725
50,633,1048.475921,0.110199,896,1223.481945,0.140878
60,923,1527.186573,0.205861,1335,1805.889891,0.292755
70,1230,2047.327189,0.318798,1775,2425.597238,0.508070
80,1649,2726.127695,0.558505,2378,3213.126128,0.914296
90,2048,3374.332057,0.817884,2931,3969.575139,1.295492
100,2567,4225.985981,1.195129,3656,4995.164208,1.981342
110,3139,5173.951906,1.594897,4520,6084.269727,2.846977
120,3653,6082.319444,2.126403,5280,7136.469494,3.846867
130,4206,6998.035263,2.725360,6044,8235.592351,5.012549
140,4990,8283.364869,3.720178,7172,9720.280088,6.911131
150,5684,9428.672485,4.841394,8151,11096.221060,8.870362
160,6504,10736.193544,6.114038,9329,12649.764482,11.549232
170,7332,12067.087055,7.634401,10487,14220.078787,14.433315
180,8224,13597.864295,9.448667,11802,16026.838270,18.156421
190,9104,15035.236255,11.447888,13028,17695.248486,21.942258
200,10141,16762.412652,14.059555,14510,19720.233493,27.076564"""
